Date;Pix
31/03/2022;1598295,91
30/04/2022;1664792,46
31/05/2022;1856767,98
30/06/2022;1925887,77
31/07/2022;2060630,59
31/08/2022;2180316,37
30/09/2022;2287655,11
31/10/2022;2436486,47
30/11/2022;2498449,43
31/12/2022;2872229,81
31/01/2023;2575314,32
28/02/2023;2539124,77
31/03/2023;3001956,41
30/04/2023;2910507,82
31/05/2023;3189216,58
30/06/2023;3296854,64
31/07/2023;3533074,99
31/08/2023;3753059,34
30/09/2023;3830813,53
31/10/2023;4050452,33
30/11/2023;4211458,47
31/12/2023;4783759,09
31/01/2024;4350076,85
29/02/2024;4344917,69
31/03/2024;4880461,05
30/04/2024;4900466,49
31/05/2024;5204203,73
30/06/2024;5252220,7
31/07/2024;5392531,01
31/08/2024;5639073,65
30/09/2024;5514822,62
31/10/2024;5719637,01
30/11/2024;5801996,57
31/12/2024;6439200,91
31/01/2025;5682379,62
28/02/2025;5607630,9
